iter	Passed	Remaining
0	0	76
1	0	65
2	1	67
3	1	72
4	1	69
5	2	71
6	2	71
7	2	70
8	3	70
9	3	73
10	4	74
11	5	80
12	5	81
13	6	80
14	6	79
15	6	78
16	7	76
17	7	76
18	7	74
19	8	74
20	8	73
21	8	71
22	9	71
23	9	72
24	10	71
25	10	71
26	11	70
27	11	71
28	12	71
29	12	71
30	13	71
31	13	71
32	14	71
33	14	70
34	14	69
35	15	69
36	15	69
37	16	68
38	16	68
39	16	67
40	17	67
41	17	67
42	18	66
43	19	68
44	19	68
45	20	68
46	20	67
47	21	67
48	21	66
49	22	66
50	22	65
51	22	64
52	23	64
53	23	63
54	24	63
55	24	63
56	25	63
57	25	62
58	26	62
59	26	61
60	26	61
61	27	60
62	27	60
63	28	59
64	28	59
65	29	59
66	29	58
67	30	58
68	30	58
69	31	57
70	31	57
71	32	57
72	32	57
73	33	56
74	33	56
75	34	55
76	34	55
77	35	54
78	35	54
79	35	53
80	36	53
81	36	53
82	37	52
83	37	51
84	37	51
85	38	51
86	39	50
87	39	50
88	40	50
89	41	50
90	41	49
91	42	49
92	42	49
93	43	49
94	44	48
95	44	48
96	45	48
97	45	47
98	46	47
99	47	47
100	47	46
101	48	46
102	48	46
103	49	45
104	49	45
105	50	44
106	50	44
107	51	43
108	52	43
109	52	43
110	53	42
111	53	42
112	54	41
113	54	41
114	55	40
115	55	40
116	56	39
117	56	39
118	60	40
119	60	40
120	61	39
121	61	39
122	62	38
123	62	38
124	63	37
125	63	37
126	64	37
127	64	36
128	65	35
129	65	35
130	66	34
131	66	34
132	67	33
133	67	33
134	68	32
135	68	32
136	69	31
137	69	31
138	70	30
139	70	30
140	71	29
141	71	29
142	72	28
143	72	28
144	73	27
145	73	27
146	74	26
147	74	26
148	75	25
149	75	25
150	76	24
151	76	24
152	76	23
153	77	23
154	77	22
155	78	22
156	78	21
157	79	21
158	79	20
159	80	20
160	80	19
161	81	19
162	81	18
163	82	18
164	83	17
165	83	17
166	83	16
167	84	16
168	84	15
169	85	15
170	85	14
171	85	13
172	86	13
173	86	12
174	87	12
175	87	11
176	88	11
177	88	10
178	88	10
179	89	9
180	89	9
181	90	8
182	90	8
183	91	7
184	91	7
185	92	6
186	92	6
187	93	5
188	93	5
189	94	4
190	94	4
191	95	3
192	95	3
193	96	2
194	96	2
195	97	1
196	97	1
197	97	0
198	98	0
199	98	0
