long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
0.0,13.7,5.9,1.0,0.0,1.0,0.0,0.0
1.0,13.2,6.3,0.0,1.0,0.0,1.0,1.0
1.0,14.7,6.2,0.0,1.0,1.0,0.0,1.0
0.0,14.0,6.0,1.0,0.0,0.0,1.0,0.0
1.0,13.8,5.6,0.0,0.0,0.0,0.0,1.0
0.0,14.4,6.1,1.0,1.0,1.0,1.0,0.0
1.0,14.1,5.3,0.0,1.0,1.0,1.0,1.0
1.0,15.0,6.4,1.0,0.0,0.0,0.0,0.0
0.0,13.4,5.5,1.0,0.0,1.0,1.0,0.0
1.0,12.7,6.6,0.0,0.0,0.0,1.0,1.0
1.0,13.7,5.9,0.0,0.0,0.0,0.0,1.0
0.0,13.2,6.1,1.0,1.0,1.0,1.0,0.0
0.0,14.0,6.3,0.0,1.0,0.0,0.0,0.0
1.0,13.8,5.6,0.0,0.0,1.0,1.0,1.0
1.0,14.1,5.3,1.0,0.0,0.0,0.0,1.0
0.0,12.7,5.8,1.0,1.0,1.0,0.0,0.0
1.0,13.4,6.0,0.0,1.0,0.0,1.0,1.0
1.0,15.1,5.4,1.0,0.0,1.0,0.0,0.0
0.0,14.4,6.5,1.0,0.0,1.0,1.0,0.0
1.0,13.6,6.2,0.0,0.0,0.0,0.0,1.0
0.0,14.0,6.1,1.0,0.0,0.0,0.0,1.0
1.0,13.5,6.3,0.0,1.0,1.0,1.0,0.0
1.0,15.2,5.9,1.0,0.0,1.0,0.0,0.0
0.0,13.0,5.5,0.0,0.0,0.0,1.0,1.0
1.0,14.5,6.5,1.0,1.0,0.0,1.0,1.0
0.0,14.3,6.0,1.0,0.0,1.0,0.0,0.0
1.0,15.0,6.7,0.0,1.0,1.0,1.0,0.0
0.0,13.4,5.8,1.0,0.0,0.0,1.0,1.0
1.0,12.9,5.9,0.0,1.0,0.0,0.0,1.0
0.0,15.3,6.3,1.0,1.0,1.0,0.0,0.0
0.0,13.4,6.1,1.0,0.0,1.0,1.0,0.0
1.0,13.7,5.3,0.0,1.0,0.0,0.0,1.0
1.0,14.1,5.9,0.0,0.0,0.0,1.0,1.0
0.0,13.8,6.3,1.0,1.0,1.0,0.0,0.0
1.0,14.0,5.6,0.0,1.0,1.0,0.0,0.0
1.0,15.1,5.4,1.0,0.0,0.0,1.0,0.0
0.0,14.4,6.0,0.0,0.0,0.0,0.0,1.0
1.0,12.7,6.2,1.0,1.0,1.0,1.0,0.0
0.0,13.3,5.5,0.0,1.0,0.0,1.0,1.0
1.0,14.8,5.7,1.0,0.0,1.0,0.0,0.0
1.0,13.5,6.3,1.0,0.0,1.0,0.0,0.0
1.0,14.0,5.9,0.0,1.0,0.0,1.0,1.0
0.0,13.7,6.1,1.0,0.0,0.0,0.0,1.0
0.0,12.9,5.6,0.0,0.0,1.0,1.0,1.0
1.0,15.2,7.1,1.0,1.0,1.0,1.0,0.0
0.0,14.5,6.5,1.0,1.0,0.0,0.0,0.0
1.0,13.1,5.7,0.0,1.0,0.0,1.0,1.0
0.0,12.8,5.4,0.0,0.0,1.0,0.0,1.0
1.0,14.3,6.7,1.0,0.0,1.0,1.0,0.0
0.0,15.0,6.0,0.0,1.0,0.0,1.0,1.0
