long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,12.1,5.1,1,1,1,1,0
1,13.7,6.6,0,1,0,1,0
1,12.8,6.2,1,0,1,1,0
0,13.1,6.8,1,1,1,1,0
0,14.9,5.3,1,1,1,0,0
1,13.3,5.4,0,1,0,0,1
1,13.9,5.1,1,1,1,0,0
1,15.0,5.5,1,1,1,1,0
1,11.6,6.8,1,1,1,0,0
1,12.4,6.9,0,1,1,1,0
1,13.6,7.0,1,1,1,1,0
1,12.5,5.3,1,0,0,0,1
1,14.6,6.6,0,1,0,1,0
1,13.6,6.4,1,0,1,1,0
0,12.7,6.0,0,0,0,0,1
0,13.5,5.1,0,0,0,0,1
1,11.5,5.4,1,0,1,0,1
1,12.8,6.4,1,1,1,0,0
1,13.7,6.5,1,1,1,1,0
1,14.6,5.4,0,1,1,0,0
1,13.9,6.0,0,0,1,0,1
0,15.1,6.2,1,1,1,1,0
1,14.2,5.5,0,0,1,0,1
1,14.8,6.0,1,1,1,1,0
1,12.2,5.1,1,1,1,0,0
0,12.7,6.4,0,1,0,0,1
0,11.6,5.7,1,0,1,1,0
0,14.5,5.5,1,1,0,1,0
0,14.6,5.9,0,1,1,1,0
1,12.5,5.8,1,1,1,0,0
1,12.1,5.7,0,0,0,1,1
1,13.3,5.3,0,1,1,1,0
1,12.2,5.6,1,0,1,0,1
1,12.2,5.9,0,1,0,0,1
0,12.4,6.0,0,0,0,1,1
1,15.0,6.2,1,0,0,1,0
1,12.6,6.0,0,0,0,0,1
0,11.9,5.4,0,0,0,0,1
1,11.9,6.2,1,0,0,0,1
1,12.8,5.3,0,1,0,1,1
0,13.9,6.3,1,1,0,1,0
1,13.0,5.9,0,0,1,0,1
1,13.1,5.4,1,1,0,1,0
1,12.0,6.4,0,0,0,1,1
1,14.4,6.0,1,0,1,1,0
1,12.0,5.1,1,0,0,0,1
0,15.0,5.3,1,1,1,1,0
1,12.5,6.5,1,1,0,1,0
0,11.8,5.3,0,1,0,0,1
0,11.5,5.7,0,0,1,1,1
