long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,14.3,6.8,1,1,0,0,0
0,13.9,5.1,0,0,0,0,1
0,13.7,5.5,1,1,0,1,0
1,13.5,6.3,1,0,1,0,1
0,12.7,7.1,1,1,1,1,0
1,12.1,5.1,0,1,0,0,1
1,12.7,5.2,0,1,0,1,0
1,11.8,6.4,0,0,1,0,1
1,14.6,6.4,1,1,0,1,0
1,11.8,5.2,0,1,0,0,1
0,11.8,7.1,1,1,0,1,0
1,12.3,6.2,1,1,0,0,1
1,13.8,5.1,1,1,0,1,0
1,12.0,5.8,0,0,0,0,1
1,13.9,5.9,1,1,1,0,0
1,13.9,6.0,1,0,0,0,1
1,15.4,5.2,1,1,1,0,0
1,12.2,5.7,0,1,1,0,1
1,14.5,5.1,0,1,1,0,0
1,11.4,6.1,0,1,0,1,1
0,11.4,6.1,0,0,0,0,1
1,14.1,5.6,0,1,0,0,1
1,13.1,5.9,1,1,0,0,1
1,13.8,5.2,1,1,0,0,1
1,14.2,5.4,1,0,0,0,1
1,11.4,6.3,0,0,0,0,1
1,13.9,6.0,0,0,1,0,1
1,12.0,6.0,0,0,0,0,1
0,13.2,5.7,0,0,0,1,1
1,12.3,6.3,0,0,0,1,1
0,13.0,5.9,1,0,0,0,1
0,12.9,6.0,0,0,0,0,1
0,12.1,6.4,0,0,0,0,1
1,12.4,6.3,0,0,0,1,1
1,13.6,5.4,0,1,0,0,1
1,13.6,5.1,0,1,0,0,1
1,12.0,5.3,1,0,0,0,1
0,13.6,6.3,0,0,0,1,1
0,13.7,6.3,0,0,0,0,1
1,12.1,6.4,0,0,1,0,1
1,11.8,5.9,0,0,0,0,1
1,13.8,5.1,1,1,1,0,1
1,12.5,5.1,0,0,1,0,1
1,12.6,6.3,0,1,1,0,1
1,11.7,6.2,0,1,0,0,1
0,13.2,6.3,0,0,0,0,1
1,14.2,5.6,0,0,0,0,1
0,13.5,5.3,0,0,1,0,1
0,12.2,5.6,0,0,0,0,1
0,11.8,5.3,0,1,0,0,1
