long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,13.6,5.8,0,0,0,1,1
1,15.4,5.1,1,1,1,1,0
0,13.1,5.6,0,0,0,0,1
0,13.1,5.6,0,0,0,0,1
1,11.6,6.5,0,0,1,0,1
1,13.8,5.5,1,1,0,0,1
0,13.1,5.6,0,0,0,0,1
1,13.6,5.8,0,0,0,1,1
0,12.2,6.1,1,1,1,1,0
0,13.4,7.1,0,1,0,1,0
1,11.6,6.5,0,0,1,0,1
1,12.9,6.8,0,1,1,1,0
1,13.7,6.1,1,1,1,1,0
1,13.7,6.1,1,1,1,1,0
1,11.7,5.4,0,1,0,0,1
1,12.9,6.8,0,1,1,1,0
1,11.6,6.5,0,0,1,0,1
1,11.6,6.5,0,0,1,0,1
1,13.7,6.1,1,1,1,1,0
1,11.7,5.4,0,1,0,0,1
1,13.6,5.8,0,0,0,1,1
1,13.8,5.5,1,1,0,0,1
1,13.7,6.1,1,1,1,1,0
1,13.8,5.5,1,1,0,0,1
0,13.4,7.1,0,1,0,1,0
0,13.1,5.6,0,0,0,0,1
1,15.4,5.1,1,1,1,1,0
0,13.1,5.6,0,0,0,0,1
1,13.6,5.8,0,0,0,1,1
1,15.4,5.1,1,1,1,1,0
0,12.2,6.1,1,1,1,1,0
0,13.1,5.6,0,0,0,0,1
1,13.7,6.1,1,1,1,1,0
1,11.7,5.4,0,1,0,0,1
0,13.1,5.6,0,0,0,0,1
0,13.1,5.6,0,0,0,0,1
0,13.1,5.6,0,0,0,0,1
1,11.6,6.5,0,0,1,0,1
1,15.4,5.1,1,1,1,1,0
1,11.7,5.4,0,1,0,0,1
1,13.8,5.5,1,1,0,0,1
1,13.8,5.5,1,1,0,0,1
1,15.4,5.1,1,1,1,1,0
0,13.4,7.1,0,1,0,1,0
1,11.6,6.5,0,0,1,0,1
0,13.1,5.6,0,0,0,0,1
0,12.2,6.1,1,1,1,1,0
1,11.6,6.5,0,0,1,0,1
0,12.2,6.1,1,1,1,1,0
1,15.4,5.1,1,1,1,1,0
