long_hair is 1.0, forehead_width_cm is 13.2, forehead_height_cm is 5.9, nose_wide is 0.0, nose_long is 1.0, lips_thin is 0.0, distance_nose_to_lip_long is 1.0, gender is 1.0.
long_hair is 0.0, forehead_width_cm is 14.1, forehead_height_cm is 6.2, nose_wide is 1.0, nose_long is 0.0, lips_thin is 1.0, distance_nose_to_lip_long is 0.0, gender is 0.0.
long_hair is 1.0, forehead_width_cm is 12.8, forehead_height_cm is 6.5, nose_wide is 0.0, nose_long is 0.0, lips_thin is 1.0, distance_nose_to_lip_long is 0.0, gender is 1.0.
long_hair is 0.0, forehead_width_cm is 14.0, forehead_height_cm is 7.0, nose_wide is 1.0, nose_long is 1.0, lips_thin is 1.0, distance_nose_to_lip_long is 1.0, gender is 0.0.
long_hair is 1.0, forehead_width_cm is 13.1, forehead_height_cm is 5.4, nose_wide is 0.0, nose_long is 0.0, lips_thin is 0.0, distance_nose_to_lip_long is 1.0, gender is 1.0.
long_hair is 1.0, forehead_width_cm is 12.5, forehead_height_cm is 5.3, nose_wide is 0.0, nose_long is 1.0, lips_thin is 0.0, distance_nose_to_lip_long is 0.0, gender is 1.0.
long_hair is 0.0, forehead_width_cm is 13.6, forehead_height_cm is 6.7, nose_wide is 1.0, nose_long is 1.0, lips_thin is 1.0, distance_nose_to_lip_long is 0.0, gender is 0.0.
long_hair is 1.0, forehead_width_cm is 12.9, forehead_height_cm is 5.6, nose_wide is 0.0, nose_long is 0.0, lips_thin is 1.0, distance_nose_to_lip_long is 1.0, gender is 1.0.
long_hair is 0.0, forehead_width_cm is 13.4, forehead_height_cm is 6.9, nose_wide is 1.0, nose_long is 1.0, lips_thin is 0.0, distance_nose_to_lip_long is 1.0, gender is 0.0.
long_hair is 1.0, forehead_width_cm is 12.4, forehead_height_cm is 5.5, nose_wide is 0.0, nose_long is 1.0, lips_thin is 0.0, distance_nose_to_lip_long is 0.0, gender is 1.0.
long_hair is 1.0, forehead_width_cm is 11.9, forehead_height_cm is 6.3, nose_wide is 0.0, nose_long is 0.0, lips_thin is 0.0, distance_nose_to_lip_long is 0.0, gender is 1.0.
long_hair is 0.0, forehead_width_cm is 14.2, forehead_height_cm is 7.2, nose_wide is 1.0, nose_long is 1.0, lips_thin is 1.0, distance_nose_to_lip_long is 1.0, gender is 0.0.
