long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,14.0,5.8,1,0,0,1,0
1,13.382204184562674,5.413877615351671,1,0,0,1,0
0,11.5,7.0,1,1,1,0,0
1,11.668560705812428,5.537121411624857,1,1,0,0,0
1,11.518249223341265,5.23649844668253,1,1,0,0,0
0,12.507572772237236,5.747883564420421,0,1,0,1,0
0,11.5,6.431619447721882,1,1,1,0,0
1,11.5,5.2,1,1,1,0,0
0,12.55598475062604,5.864091496243761,0,0,1,1,0
0,12.782768261504023,5.508615869247988,0,1,1,1,0
1,13.290165588639699,6.726777059093132,1,0,1,1,0
1,12.166448801570667,6.420445785098667,1,0,0,1,0
1,15.2,5.6,0,1,1,1,0
0,11.856753326693589,6.714597338645128,1,0,1,0,0
1,13.834104824737459,5.551157237106187,0,0,0,1,0
1,14.500380878558932,6.066412747627378,0,0,1,1,0
1,12.954340780899857,6.502893853933238,1,0,1,1,0
1,13.453095501231152,6.71150749794808,1,0,0,1,0
0,12.268738857823008,6.130017827483186,0,1,0,1,0
1,11.618681811547576,5.437363623095153,1,1,0,0,0
0,11.520620780155264,6.979379219844736,1,1,0,0,0
1,13.83832053037671,5.557480795565062,0,0,0,1,0
0,12.672601270122973,5.5939498941564185,0,1,1,1,0
1,12.718197753262588,5.91946003151953,1,0,1,1,0
1,12.5,6.2,1,0,1,1,0
0,12.972752364386118,6.844973435327777,1,0,1,0,0
0,13.224081625413373,5.547993197882219,0,1,1,1,0
0,12.58280573944239,5.627510816892174,0,1,0,1,0
1,12.072863626653676,6.345727253307355,1,1,0,0,0
0,12.835179434902974,5.580401713758085,0,1,1,1,0
1,13.4,6.8,1,0,1,1,0
1,12.694495091894277,6.582921566736701,1,0,0,1,0
1,13.696488007359994,5.8364139760800215,0,0,1,1,0
1,13.25440775875273,5.318135919584243,0,1,1,1,0
1,15.030890930030285,5.628184844994952,0,0,0,1,0
0,12.95873998728665,5.420630006356674,0,1,1,1,0
0,11.571556752283808,6.908927769820608,0,1,1,0,0
1,15.181641711240724,5.598688693660051,0,1,1,1,0
1,12.1,6.4,1,1,0,1,0
1,13.2,5.3,1,1,1,1,0
1,12.281315888262688,6.309342055868656,1,0,0,1,0
0,11.5,6.5115717428069875,1,1,1,0,0
0,12.242136636160408,5.469867867694694,0,1,1,0,0
1,13.011611260067122,5.488388739932878,1,1,0,1,0
0,12.6,5.6,0,1,1,1,0
1,12.14206905982894,6.3789654700855305,1,0,0,1,0
1,12.55218545057584,6.132904420688206,1,0,1,1,0
0,12.646875458986129,5.576562270506935,0,1,1,1,0
1,13.8,5.5,0,1,1,1,0
1,13.819534422801278,5.529301634201915,0,0,0,1,0
