long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1.0,12.0,5.5,0.0,0.0,0.0,0.0,1.0
0.0,13.5,6.0,1.0,1.0,1.0,1.0,0.0
1.0,13.7,6.3,0.0,0.0,0.0,1.0,1.0
0.0,14.0,5.9,1.0,1.0,1.0,0.0,0.0
1.0,13.3,5.2,0.0,1.0,0.0,0.0,1.0
1.0,12.3,6.1,0.0,0.0,1.0,1.0,1.0
0.0,13.2,5.8,1.0,0.0,1.0,1.0,0.0
0.0,12.8,6.4,1.0,1.0,0.0,0.0,0.0
1.0,12.5,5.7,0.0,1.0,1.0,0.0,1.0
1.0,11.8,6.2,0.0,0.0,0.0,1.0,1.0
0.0,14.2,5.6,0.0,1.0,1.0,1.0,0.0
0.0,11.7,5.4,1.0,0.0,0.0,0.0,0.0
1.0,12.9,6.6,0.0,1.0,0.0,1.0,1.0
1.0,14.4,6.7,1.0,1.0,1.0,0.0,0.0
0.0,12.2,5.1,1.0,0.0,1.0,1.0,0.0
1.0,13.9,5.0,0.0,0.0,0.0,0.0,1.0
0.0,14.6,6.1,1.0,1.0,0.0,1.0,0.0
1.0,11.9,5.8,0.0,0.0,1.0,1.0,1.0
0.0,13.6,6.3,1.0,1.0,1.0,0.0,0.0
1.0,12.4,6.0,0.0,1.0,0.0,0.0,1.0
1.0,12.8,6.3,0.0,0.0,0.0,0.0,1.0
0.0,13.5,5.7,1.0,0.0,1.0,1.0,0.0
1.0,13.7,5.9,1.0,1.0,0.0,1.0,0.0
1.0,12.5,6.1,0.0,1.0,0.0,1.0,1.0
0.0,14.2,5.6,1.0,1.0,1.0,0.0,0.0
0.0,11.8,5.4,0.0,0.0,0.0,0.0,1.0
1.0,14.0,6.4,0.0,0.0,1.0,1.0,1.0
0.0,13.9,5.8,1.0,1.0,0.0,1.0,0.0
0.0,12.4,5.2,0.0,0.0,1.0,0.0,1.0
1.0,13.3,6.6,1.0,0.0,0.0,1.0,0.0
0.0,12.2,5.5,0.0,1.0,1.0,0.0,1.0
1.0,12.9,5.7,0.0,1.0,0.0,0.0,1.0
1.0,13.6,6.0,1.0,1.0,1.0,0.0,0.0
0.0,14.0,6.1,1.0,0.0,1.0,1.0,0.0
1.0,11.7,5.9,0.0,0.0,0.0,0.0,1.0
0.0,13.2,5.3,1.0,1.0,1.0,0.0,0.0
1.0,14.1,6.2,0.0,1.0,1.0,1.0,1.0
1.0,12.3,5.6,1.0,0.0,0.0,0.0,0.0
0.0,11.9,5.8,0.0,1.0,0.0,1.0,1.0
1.0,12.1,6.7,0.0,0.0,1.0,0.0,1.0
1.0,12.9,5.2,0.0,0.0,0.0,0.0,1.0
0.0,14.0,6.3,1.0,1.0,1.0,1.0,0.0
1.0,13.7,6.0,0.0,1.0,0.0,1.0,1.0
0.0,12.8,5.4,1.0,0.0,1.0,0.0,0.0
0.0,13.5,5.9,0.0,0.0,0.0,1.0,1.0
1.0,11.7,5.6,0.0,0.0,1.0,0.0,1.0
1.0,12.4,5.8,1.0,1.0,0.0,0.0,0.0
0.0,13.9,6.2,1.0,1.0,1.0,0.0,0.0
0.0,14.2,6.1,0.0,0.0,0.0,0.0,1.0
1.0,13.3,5.5,0.0,1.0,0.0,1.0,1.0
1.0,12.5,6.4,1.0,0.0,1.0,0.0,0.0
0.0,13.6,5.7,1.0,1.0,0.0,1.0,0.0
1.0,14.4,6.6,0.0,1.0,1.0,1.0,1.0
0.0,12.2,5.3,0.0,0.0,1.0,0.0,1.0
1.0,13.0,5.9,1.0,1.0,0.0,1.0,0.0
0.0,11.8,5.0,1.0,0.0,0.0,0.0,0.0
1.0,14.6,6.7,1.0,1.0,1.0,0.0,0.0
1.0,12.0,6.3,0.0,0.0,0.0,1.0,1.0
0.0,14.8,5.8,1.0,1.0,1.0,1.0,0.0
0.0,11.6,5.1,0.0,0.0,1.0,0.0,1.0
1.0,12.0,5.7,0.0,0.0,0.0,0.0,1.0
0.0,14.0,6.0,1.0,1.0,1.0,1.0,0.0
0.0,11.8,5.2,0.0,0.0,0.0,0.0,1.0
1.0,13.5,6.3,0.0,1.0,0.0,1.0,1.0
1.0,12.2,5.5,0.0,0.0,0.0,0.0,1.0
1.0,12.8,5.9,0.0,0.0,0.0,0.0,1.0
0.0,13.7,6.1,1.0,1.0,1.0,1.0,0.0
0.0,14.2,5.8,1.0,1.0,1.0,0.0,0.0
1.0,11.7,5.4,0.0,0.0,0.0,1.0,1.0
1.0,13.9,5.6,0.0,1.0,0.0,0.0,1.0
0.0,13.2,5.3,1.0,0.0,1.0,0.0,0.0
0.0,12.5,5.1,0.0,0.0,0.0,0.0,1.0
1.0,13.3,6.4,0.0,0.0,0.0,1.0,1.0
1.0,12.1,6.7,0.0,1.0,0.0,1.0,1.0
0.0,13.5,5.8,1.0,1.0,1.0,1.0,0.0
0.0,12.3,5.6,0.0,0.0,0.0,0.0,1.0
0.0,14.4,6.2,1.0,1.0,1.0,1.0,0.0
1.0,12.9,5.0,0.0,0.0,0.0,0.0,1.0
1.0,14.0,6.6,1.0,1.0,1.0,1.0,0.0
0.0,11.6,5.0,0.0,0.0,0.0,0.0,1.0
1.0,12.0,5.7,0.0,0.0,0.0,0.0,1.0
0.0,13.5,6.0,1.0,1.0,1.0,1.0,0.0
1.0,13.7,6.3,0.0,1.0,0.0,0.0,1.0
0.0,12.8,5.4,1.0,0.0,1.0,0.0,0.0
1.0,12.2,5.9,0.0,0.0,1.0,1.0,1.0
0.0,14.0,5.8,1.0,1.0,0.0,1.0,0.0
1.0,11.8,5.2,0.0,0.0,0.0,0.0,1.0
0.0,14.2,6.1,1.0,0.0,1.0,1.0,0.0
1.0,13.0,6.4,0.0,1.0,0.0,0.0,1.0
0.0,12.9,5.5,1.0,0.0,1.0,0.0,0.0
1.0,11.7,5.8,0.0,0.0,1.0,1.0,1.0
0.0,13.9,6.2,1.0,1.0,0.0,1.0,0.0
1.0,12.1,5.6,0.0,0.0,0.0,0.0,1.0
0.0,14.4,5.9,1.0,0.0,1.0,1.0,0.0
1.0,12.3,6.6,0.0,1.0,0.0,0.0,1.0
0.0,13.2,5.3,1.0,1.0,1.0,0.0,0.0
1.0,11.9,5.0,0.0,0.0,1.0,1.0,1.0
0.0,14.6,6.3,1.0,1.0,0.0,1.0,0.0
